Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Milwaukee Bucks,65,240.8,43.5,91.2,0.477,13.7,38.6,0.356,29.8,52.6,0.567,17.8,24,0.742,9.5,42.2,51.7,25.9,7.4,6,14.9,19.2,118.6
2,Dallas Mavericks,65,241.5,41.6,89.9,0.463,15.3,41.5,0.369,26.2,48.4,0.543,18,23.3,0.773,10.6,36.4,47,24.5,6.2,5.1,12.8,19.1,116.5
3,Houston Rockets,63,241.2,41.1,90.8,0.453,15.4,44.3,0.348,25.7,46.5,0.553,20.5,26,0.788,10.4,34.7,45.1,21.4,8.4,5.1,14.6,21.6,118.1
4,New Orleans Pelicans,64,242.3,42.6,92.2,0.462,14,37.6,0.372,28.6,54.6,0.525,16.9,23.2,0.729,11.2,35.8,47,27,7.6,5.1,16.2,21,116.2
5,Portland Trail Blazers,65,240.8,41.8,90.9,0.46,12.5,33.7,0.37,29.3,57.2,0.513,17.4,21.8,0.798,10.1,35.4,45.5,20.2,6,6.2,13,21.5,113.5
6,Atlanta Hawks,66,242.7,40.5,90.3,0.449,12,36,0.333,28.5,54.3,0.525,18.4,23.3,0.79,9.8,33.3,43.1,23.9,7.8,5.1,16.2,23.1,111.5
7,Los Angeles Clippers,63,241.2,41.6,89.6,0.464,12,33,0.365,29.5,56.6,0.521,20.8,26.3,0.79,11,37,48,23.8,7.2,5,14.8,22.1,116
8,Washington Wizards,63,241.2,42,91.2,0.461,12.3,33,0.372,29.7,58.2,0.511,19.2,24.4,0.786,10.1,31.7,41.8,25.4,8.1,4.3,14,22.5,115.5
9,Toronto Raptors,64,241.6,40.6,88.5,0.458,13.8,37,0.371,26.8,51.5,0.521,18.1,22.6,0.8,9.7,35.5,45.2,25.4,8.8,4.9,14.4,21.5,113
10,Phoenix Suns,64,241.2,40.9,87.8,0.465,11.2,31.7,0.353,29.7,56.1,0.529,19.8,24,0.824,9.8,33.3,43.1,27.2,7.9,4,15.1,22.2,112.7
11,Memphis Grizzlies,64,240.4,42.8,91.2,0.47,10.9,31.1,0.351,31.9,60.1,0.531,16,21,0.762,10.5,36.3,46.8,27.1,8,5.6,15.2,20.8,112.6
12,Miami Heat,64,243.5,39.6,84.4,0.47,13.3,34.7,0.384,26.3,49.7,0.529,19.8,25.4,0.778,8.5,36.2,44.7,25.9,7.4,4.5,14.9,20.4,112.4
13,Minnesota Timberwolves,63,243.2,40.4,91.8,0.44,13.3,39.8,0.335,27.1,52,0.521,19.1,25.4,0.753,10.6,34.3,44.9,23.9,8.7,5.7,15.3,21.4,113.3
14,Boston Celtics,63,242,41.2,89.6,0.46,12.4,34.2,0.363,28.8,55.4,0.519,18.3,22.8,0.8,10.7,35.3,46,22.9,8.3,5.6,13.7,21.5,113
15,Utah Jazz,64,240.4,40.1,84.6,0.475,13.2,34.4,0.383,27,50.2,0.537,17.6,22.8,0.772,8.8,36.3,45.1,22.2,5.9,4,14.9,20,111
16,Los Angeles Lakers,62,240.8,43,88.6,0.485,11.1,31.3,0.354,31.9,57.3,0.556,17.5,23.9,0.731,10.6,35.5,46.1,25.9,8.6,6.9,15.1,20.6,114.5
17,Oklahoma City Thunder,64,241.6,40.3,85.1,0.473,10.4,29.3,0.355,29.9,55.8,0.536,19.8,24.8,0.797,8.1,34.6,42.7,21.9,7.6,5,13.5,18.8,110.8
18,Denver Nuggets,64,242.3,41.9,89,0.471,10.8,30.3,0.358,31,58.7,0.529,16,20.7,0.776,10.9,33.5,44.3,26.6,8.2,4.7,13.7,20,110.6
19,San Antonio Spurs,62,242.8,42,89.5,0.469,10.6,28.7,0.369,31.4,60.8,0.516,18.5,22.9,0.809,8.9,35.6,44.5,24.4,7.1,5.4,12.3,19.3,113.1
20,Philadelphia 76ers,64,241.2,40.8,87.8,0.464,11.4,31.5,0.361,29.4,56.2,0.523,16.5,21.9,0.751,10.3,35.1,45.4,25.8,8.2,5.4,14.2,20.7,109.4
21,Indiana Pacers,64,241.6,42.1,88.3,0.477,10,27.5,0.362,32.1,60.8,0.529,15.1,19.3,0.786,8.8,34,42.8,26,7.3,5.1,13.1,19.6,109.3
22,Brooklyn Nets,63,243.2,40,90,0.444,12.9,37.8,0.34,27.1,52.2,0.52,18,24.2,0.744,10.8,37.7,48.5,24,6.4,4.6,15.6,20.7,110.9
23,Sacramento Kings,64,242.3,40.4,87.8,0.459,12.6,34.7,0.364,27.7,53.2,0.522,15.6,20.3,0.769,9.6,32.9,42.5,23.4,7.6,4.2,14.4,21.9,109
