WTeam,LTeam,WLoc
Toronto Raptors,New Orleans Pelicans,H
Los Angeles Clippers,Los Angeles Lakers,H
Charlotte Hornets,Chicago Bulls,H
Detroit Pistons,Indiana Pacers,V
Orlando Magic,Cleveland Cavaliers,H
Minnesota Timberwolves,Brooklyn Nets,V
Miami Heat,Memphis Grizzlies,H
Philadelphia 76ers,Boston Celtics,H
Dallas Mavericks,Washington Wizards,H
San Antonio Spurs,New York Knicks,H
Utah Jazz,Oklahoma City Thunder,H
Phoenix Suns,Sacramento Kings,H
Denver Nuggets,Portland Trail Blazers,V
Atlanta Hawks,Detroit Pistons,V
Milwaukee Bucks,Houston Rockets,V
Los Angeles Clippers,Golden State Warriors,V
Boston Celtics,Toronto Raptors,H
Minnesota Timberwolves,Charlotte Hornets,V
Brooklyn Nets,New York Knicks,H
Chicago Bulls,Memphis Grizzlies,V
Dallas Mavericks,New Orleans Pelicans,V
Washington Wizards,Oklahoma City Thunder,V
Denver Nuggets,Phoenix Suns,H
Portland Trail Blazers,Sacramento Kings,V
Los Angeles Lakers,Utah Jazz,H
Miami Heat,Milwaukee Bucks,V
Philadelphia 76ers,Detroit Pistons,V
Atlanta Hawks,Orlando Magic,H
Boston Celtics,New York Knicks,V
Toronto Raptors,Chicago Bulls,V
Cleveland Cavaliers,Indiana Pacers,H
Houston Rockets,New Orleans Pelicans,H
San Antonio Spurs,Washington Wizards,H
Utah Jazz,Sacramento Kings,H
Phoenix Suns,Los Angeles Clippers,H
Oklahoma City Thunder,Golden State Warriors,H
Memphis Grizzlies,Brooklyn Nets,H
Portland Trail Blazers,Dallas Mavericks,V
Minnesota Timberwolves,Miami Heat,H
Los Angeles Lakers,Charlotte Hornets,H
New York Knicks,Chicago Bulls,H
Detroit Pistons,Indiana Pacers,H
Toronto Raptors,Orlando Magic,H
Philadelphia 76ers,Atlanta Hawks,V
Houston Rockets,Oklahoma City Thunder,H
Milwaukee Bucks,Cleveland Cavaliers,H
Golden State Warriors,New Orleans Pelicans,V
San Antonio Spurs,Portland Trail Blazers,H
Utah Jazz,Phoenix Suns,V
Denver Nuggets,Sacramento Kings,V
Los Angeles Clippers,Charlotte Hornets,H
Miami Heat,Atlanta Hawks,H
Dallas Mavericks,Denver Nuggets,V
Los Angeles Lakers,Memphis Grizzlies,H
Cleveland Cavaliers,Chicago Bulls,H
Orlando Magic,New York Knicks,H
Philadelphia 76ers,Minnesota Timberwolves,H
Boston Celtics,Milwaukee Bucks,H
Indiana Pacers,Brooklyn Nets,V
Toronto Raptors,Detroit Pistons,H
Portland Trail Blazers,Oklahoma City Thunder,V
Houston Rockets,Washington Wizards,V
Charlotte Hornets,Sacramento Kings,V
Utah Jazz,Los Angeles Clippers,H
Phoenix Suns,Golden State Warriors,V
