win,lose,probability
Toronto Raptors,New Orleans Pelicans,0.75
Los Angeles Lakers,Los Angeles Clippers,0.7
Charlotte Hornets,Chicago Bulls,0.59
Indiana Pacers,Detroit Pistons,0.69
Orlando Magic,Cleveland Cavaliers,0.72
Brooklyn Nets,Minnesota Timberwolves,0.57
Miami Heat,Memphis Grizzlies,0.57
Boston Celtics,Philadelphia 76ers,0.57
Dallas Mavericks,Washington Wizards,0.77
San Antonio Spurs,New York Knicks,0.62
Utah Jazz,Oklahoma City Thunder,0.5
Sacramento Kings,Phoenix Suns,0.56
Denver Nuggets,Portland Trail Blazers,0.66
Detroit Pistons,Atlanta Hawks,0.61
Milwaukee Bucks,Houston Rockets,0.84
Los Angeles Clippers,Golden State Warriors,0.86
Toronto Raptors,Boston Celtics,0.58
Minnesota Timberwolves,Charlotte Hornets,0.56
Brooklyn Nets,New York Knicks,0.69
Memphis Grizzlies,Chicago Bulls,0.72
Dallas Mavericks,New Orleans Pelicans,0.68
Oklahoma City Thunder,Washington Wizards,0.74
Denver Nuggets,Phoenix Suns,0.75
Sacramento Kings,Portland Trail Blazers,0.51
Los Angeles Lakers,Utah Jazz,0.64
Milwaukee Bucks,Miami Heat,0.6
Philadelphia 76ers,Detroit Pistons,0.75
Orlando Magic,Atlanta Hawks,0.67
Boston Celtics,New York Knicks,0.82
Toronto Raptors,Chicago Bulls,0.78
Indiana Pacers,Cleveland Cavaliers,0.78
Houston Rockets,New Orleans Pelicans,0.68
Washington Wizards,San Antonio Spurs,0.5
Utah Jazz,Sacramento Kings,0.7
Los Angeles Clippers,Phoenix Suns,0.81
Oklahoma City Thunder,Golden State Warriors,0.85
Brooklyn Nets,Memphis Grizzlies,0.58
Dallas Mavericks,Portland Trail Blazers,0.71
Miami Heat,Minnesota Timberwolves,0.8
Los Angeles Lakers,Charlotte Hornets,0.87
New York Knicks,Chicago Bulls,0.63
Indiana Pacers,Detroit Pistons,0.83
Toronto Raptors,Orlando Magic,0.69
Philadelphia 76ers,Atlanta Hawks,0.68
Houston Rockets,Oklahoma City Thunder,0.5
Milwaukee Bucks,Cleveland Cavaliers,0.92
New Orleans Pelicans,Golden State Warriors,0.76
Portland Trail Blazers,San Antonio Spurs,0.57
Utah Jazz,Phoenix Suns,0.76
Denver Nuggets,Sacramento Kings,0.7
Los Angeles Clippers,Charlotte Hornets,0.79
Miami Heat,Atlanta Hawks,0.85
Denver Nuggets,Dallas Mavericks,0.53
Los Angeles Lakers,Memphis Grizzlies,0.74
Cleveland Cavaliers,Chicago Bulls,0.66
Orlando Magic,New York Knicks,0.66
Philadelphia 76ers,Minnesota Timberwolves,0.76
Milwaukee Bucks,Boston Celtics,0.83
Indiana Pacers,Brooklyn Nets,0.74
Toronto Raptors,Detroit Pistons,0.84
Oklahoma City Thunder,Portland Trail Blazers,0.68
Houston Rockets,Washington Wizards,0.73
Sacramento Kings,Charlotte Hornets,0.59
Los Angeles Clippers,Utah Jazz,0.6
Phoenix Suns,Golden State Warriors,0.6
Miami Heat,Atlanta Hawks,0.76
Denver Nuggets,New Orleans Pelicans,0.66
Los Angeles Clippers,San Antonio Spurs,0.64
Houston Rockets,Brooklyn Nets,0.69
Indiana Pacers,Cleveland Cavaliers,0.82
Milwaukee Bucks,Orlando Magic,0.94
Boston Celtics,New York Knicks,0.85
Chicago Bulls,Detroit Pistons,0.6
Los Angeles Lakers,Dallas Mavericks,0.71
Utah Jazz,Sacramento Kings,0.73
San Antonio Spurs,Golden State Warriors,0.71
Oklahoma City Thunder,New Orleans Pelicans,0.63
Brooklyn Nets,Detroit Pistons,0.72
Denver Nuggets,Orlando Magic,0.73
Memphis Grizzlies,Phoenix Suns,0.54
Milwaukee Bucks,Toronto Raptors,0.52
Washington Wizards,Minnesota Timberwolves,0.53
Charlotte Hornets,Golden State Warriors,0.54
Philadelphia 76ers,Portland Trail Blazers,0.59
Indiana Pacers,Chicago Bulls,0.79
Houston Rockets,Miami Heat,0.51
Sacramento Kings,New York Knicks,0.6
Los Angeles Lakers,San Antonio Spurs,0.89
Dallas Mavericks,Cleveland Cavaliers,0.75
Utah Jazz,Los Angeles Clippers,0.51
Washington Wizards,Detroit Pistons,0.55
New Orleans Pelicans,Brooklyn Nets,0.55
Houston Rockets,Memphis Grizzlies,0.68
Milwaukee Bucks,Minnesota Timberwolves,0.95
Philadelphia 76ers,Phoenix Suns,0.67
Portland Trail Blazers,Golden State Warriors,0.62
Indiana Pacers,Charlotte Hornets,0.83
Boston Celtics,Cleveland Cavaliers,0.79
San Antonio Spurs,Atlanta Hawks,0.64
Los Angeles Lakers,Chicago Bulls,0.85
Oklahoma City Thunder,Orlando Magic,0.56
Denver Nuggets,Miami Heat,0.51
Detroit Pistons,New York Knicks,0.56
Indiana Pacers,Washington Wizards,0.68
Atlanta Hawks,Chicago Bulls,0.67
Houston Rockets,Golden State Warriors,0.87
Toronto Raptors,Sacramento Kings,0.78
Memphis Grizzlies,Minnesota Timberwolves,0.59
Dallas Mavericks,Orlando Magic,0.6
Utah Jazz,Philadelphia 76ers,0.59
Milwaukee Bucks,Los Angeles Clippers,0.83
Boston Celtics,Charlotte Hornets,0.84
Oklahoma City Thunder,San Antonio Spurs,0.77
Miami Heat,Phoenix Suns,0.76
Los Angeles Clippers,Portland Trail Blazers,0.73
Indiana Pacers,Detroit Pistons,0.69
Memphis Grizzlies,Orlando Magic,0.65
Washington Wizards,Cleveland Cavaliers,0.72
Sacramento Kings,Atlanta Hawks,0.56
Minnesota Timberwolves,Golden State Warriors,0.65
Toronto Raptors,New Orleans Pelicans,0.76
Dallas Mavericks,New York Knicks,0.85
Denver Nuggets,Philadelphia 76ers,0.61
Milwaukee Bucks,Utah Jazz,0.84
Brooklyn Nets,Portland Trail Blazers,0.56
Los Angeles Lakers,Miami Heat,0.64
Boston Celtics,San Antonio Spurs,0.81
New Orleans Pelicans,Charlotte Hornets,0.67
Houston Rockets,Chicago Bulls,0.68
Dallas Mavericks,Memphis Grizzlies,0.69
